omb_cat,name,year,corp,indv,total,gdp,gdp_price_index,corp_adj,indv_adj,total_adj,percent_corp,percent_gdp,percent_indv,percent_omb_cat,percent_total,percent_change,orig_name
"General Science, Space, And Technology",Credit For Increasing Research Activities,1991,705000000.0,25000000.0,730000000.0,6110000000000.0,0.6258435163231808,1126479674,39946088,1166425761,1.51,0.01,0.01,23.10,0.21,-38.16, 
Commerce And Housing,Credit For Low-Income Housing Investments,1991,160000000.0,650000000.0,810000000.0,6110000000000.0,0.6258435163231808,255654961,1038598281,1294253242,0.34,0.01,0.21,0.49,0.23,580.23, 
Income Security,Deductibility Of Casualty Losses,1991,,255000000.0,255000000.0,6110000000000.0,0.6258435163231808,,407450095,407450095,,0.00,0.08,0.38,0.07,-20.56, 
"Education, Training, Employment, And Social Services",Deductibility Of Charitable Contributions (Education),1991,525000000.0,1280000000.0,1805000000.0,6110000000000.0,0.6258435163231808,838867842,2045239691,2884107533,1.13,0.03,0.41,8.70,0.51,2.84, 
Health,Deductibility Of Charitable Contributions (Health),1991,325000000.0,1310000000.0,1635000000.0,6110000000000.0,0.6258435163231808,519299140,2093174996,2612474137,0.70,0.03,0.42,3.33,0.46,3.20, 
"Education, Training, Employment, And Social Services","Deductibility Of Charitable Contributions, Other Than Education And Health",1991,655000000.0,11630000000.0,12285000000.0,6110000000000.0,0.6258435163231808,1046587498,18582920006,19629507504,1.41,0.20,3.76,59.20,3.46,3.26, 
Health,Deductibility Of Medical Expenses,1991,,3025000000.0,3025000000.0,6110000000000.0,0.6258435163231808,,4833476614,4833476614,,0.05,0.98,6.16,0.85,2.15, 
Commerce And Housing,Deductibility Of Mortgage Interest On Owner-Occupied Homes,1991,,40690000000.0,40690000000.0,6110000000000.0,0.6258435163231808,,65016252368,65016252368,,0.67,13.17,24.61,11.45,4.57, 
Commerce And Housing,Deductibility Of Nonbusiness State And Local Taxes Other Than On Owner-Occupied Homes,1991,,20940000000.0,20940000000.0,6110000000000.0,0.6258435163231808,,33458843072,33458843072,,0.34,6.78,12.66,5.89,7.14, 
Commerce And Housing,Deductibility Of State And Local Property Tax On Owner-Occupied Homes,1991,,10735000000.0,10735000000.0,6110000000000.0,0.6258435163231808,,17152850066,17152850066,,0.18,3.47,6.49,3.02,8.90, 
Commerce And Housing,Deferral Of Capital Gains On Home Sales,1991,,12635000000.0,12635000000.0,6110000000000.0,0.6258435163231808,,20188752732,20188752732,,0.21,4.09,7.64,3.55,-3.42, 
Commerce And Housing,Deferral Of Gains From Sale Of Broadcasting Facilities To Minority Owned Business,1991,220000000.0,,220000000.0,6110000000000.0,0.6258435163231808,351525572,,351525572,0.47,0.00,,0.13,0.06,-7.62, 
International Affairs,Deferral Of Income From Controlled Foreign Corporations,1991,-200000000.0,,-200000000.0,6110000000000.0,0.6258435163231808,-319568702,,-319568702,-0.43,-0.00,,-3.64,-0.06,-164.38, 
Commerce And Housing,Deferral Of Income From Installment Sales,1991,195000000.0,550000000.0,745000000.0,6110000000000.0,0.6258435163231808,311579484,878813930,1190393414,0.42,0.01,0.18,0.45,0.21,-2.11,Deferral Of Income From Post 1987 Installment Sales
Interest,Deferral Of Interest On Us Savings Bonds,1991,,945000000.0,945000000.0,6110000000000.0,0.6258435163231808,,1509962116,1509962116,,0.02,0.31,100.00,0.27,-5.43,Deferral Of Interest On Savings Bonds
Transportation,Deferral Of Tax On Shipping Companies,1991,135000000.0,,135000000.0,6110000000000.0,0.6258435163231808,215708874,,215708874,0.29,0.00,,100.00,0.04,4.30, 
Income Security,Earned Income Tax Credit,1991,,2260000000.0,2260000000.0,6110000000000.0,0.6258435163231808,,3611126330,3611126330,,0.04,0.73,3.33,0.64,21.26,Earned Income Credit
"Education, Training, Employment, And Social Services",Employer Provided Child Care Exclusion,1991,,485000000.0,485000000.0,6110000000000.0,0.6258435163231808,,774954102,774954102,,0.01,0.16,2.34,0.14,95.16,Exclusion Of Employer Provided Child Care
Energy,Exception From Passive Loss Limitation For Working Interests In Oil And Gas Properties,1991,,80000000.0,80000000.0,6110000000000.0,0.6258435163231808,,127827481,127827481,,0.00,0.03,8.21,0.02,-57.08, 
Commerce And Housing,"Exception From Passive Loss Rules For $25,000 Of Rental Loss",1991,,6095000000.0,6095000000.0,6110000000000.0,0.6258435163231808,,9738856185,9738856185,,0.10,1.97,3.69,1.71,-10.20, 
Commerce And Housing,Excess Bad Debt Reserves Of Financial Institutions,1991,10000000.0,,10000000.0,6110000000000.0,0.6258435163231808,15978435,,15978435,0.02,0.00,,0.01,0.00,-93.77, 
Natural Resources And Environment,"Excess Of Percentage Over Cost Depletion, Nonfuel Minerals",1991,210000000.0,20000000.0,230000000.0,6110000000000.0,0.6258435163231808,335547137,31956870,367504007,0.45,0.00,0.01,10.18,0.06,-30.59, 
Energy,Excess Of Percentage Over Cost Depletion: Oil And Gas,1991,95000000.0,460000000.0,555000000.0,6110000000000.0,0.6258435163231808,151795133,735008014,886803147,0.20,0.01,0.15,56.92,0.16,-17.54, 
Energy,Excess Of Percentage Over Cost Depletion: Other Fuels,1991,150000000.0,10000000.0,160000000.0,6110000000000.0,0.6258435163231808,239676526,15978435,255654961,0.32,0.00,0.00,16.41,0.05,6.57, 
National Defense,Exclusion Of Benefits And Allowances To Armed Forces Personnel,1991,,2010000000.0,2010000000.0,6110000000000.0,0.6258435163231808,,3211665452,3211665452,,0.03,0.65,100.00,0.57,-0.71, 
Commerce And Housing,Exclusion Of Capital Gains On Home Sales For Persons Age 55 And Over,1991,,3230000000.0,3230000000.0,6110000000000.0,0.6258435163231808,,5161034533,5161034533,,0.05,1.05,1.95,0.91,-3.42, 
"Education, Training, Employment, And Social Services",Exclusion Of Certain Foster Care Payments,1991,,20000000.0,20000000.0,6110000000000.0,0.6258435163231808,,31956870,31956870,,0.00,0.01,0.10,0.01,-3.42, 
"Education, Training, Employment, And Social Services",Exclusion Of Contributions To Prepaid Legal Services Plans,1991,,70000000.0,70000000.0,6110000000000.0,0.6258435163231808,,111849046,111849046,,0.00,0.02,0.34,0.02,-3.42, 
"Education, Training, Employment, And Social Services",Exclusion Of Employee Meals And Lodging (Other Than Military),1991,,780000000.0,780000000.0,6110000000000.0,0.6258435163231808,,1246317937,1246317937,,0.01,0.25,3.76,0.22,0.44, 
Health,Exclusion Of Employer Contributions For Medical Insurance Premiums And Medical Care,1991,,36225000000.0,36225000000.0,6110000000000.0,0.6258435163231808,,57881881102,57881881102,,0.59,11.73,73.80,10.19,32.72, 
Income Security,Exclusion Of Employer Provided Death Benefits,1991,,20000000.0,20000000.0,6110000000000.0,0.6258435163231808,,31956870,31956870,,0.00,0.01,0.03,0.01,-3.42, 
"Education, Training, Employment, And Social Services",Exclusion Of Employer-Provided Educational Assistance,1991,,255000000.0,255000000.0,6110000000000.0,0.6258435163231808,,407450095,407450095,,0.00,0.08,1.23,0.07,9.45, 
Veterans Benefits And Services,Exclusion Of Gi Bill Benefits,1991,,45000000.0,45000000.0,6110000000000.0,0.6258435163231808,,71902958,71902958,,0.00,0.01,2.31,0.01,-3.42, 
International Affairs,Exclusion Of Income Earned Abroad By Us Citizens,1991,,1675000000.0,1675000000.0,6110000000000.0,0.6258435163231808,,2676387877,2676387877,,0.03,0.54,30.51,0.47,34.24, 
International Affairs,Exclusion Of Income Of Foreign Sales Corporations,1991,1050000000.0,,1050000000.0,6110000000000.0,0.6258435163231808,1677735684,,1677735684,2.25,0.02,,19.13,0.30,13.30, 
Community And Regional Development,"Exclusion Of Interest For Airport, Dock, And Similar Bonds",1991,635000000.0,,635000000.0,6110000000000.0,0.6258435163231808,1014630628,,1014630628,1.36,0.01,,77.91,0.18,-18.23,"Exclusion Of Interest On Idbs For Airports, Docks And Sports And Convention Facilities"
"Education, Training, Employment, And Social Services",Exclusion Of Interest On Bonds For Private Nonprofit Educational Facilities,1991,,555000000.0,555000000.0,6110000000000.0,0.6258435163231808,,886803147,886803147,,0.01,0.18,2.67,0.16,75.74,Exclusion Of Interest On State And Local Debt For Private Nonprofit Educational Facilities
Energy,Exclusion Of Interest On Energy Facility Bonds,1991,125000000.0,,125000000.0,6110000000000.0,0.6258435163231808,199730439,,199730439,0.27,0.00,,12.82,0.04,-52.66,Exclusion Of Interest On State And Local Industrial Development Bonds For Certain Energy Facilities
Health,Exclusion Of Interest On Hospital Construction Bonds,1991,,1320000000.0,1320000000.0,6110000000000.0,0.6258435163231808,,2109153431,2109153431,,0.02,0.43,2.69,0.37,-53.90,Exclusion Of Interest On State And Local Debt For Private Nonprofit Health Facilities
Commerce And Housing,Exclusion Of Interest On Life Insurance Savings,1991,85000000.0,7915000000.0,8000000000.0,6110000000000.0,0.6258435163231808,135816698,12646931371,12782748069,0.18,0.13,2.56,4.84,2.25,5.55, 
Commerce And Housing,Exclusion Of Interest On Owner-Occupied Mortgage Subsidy Bonds,1991,,2185000000.0,2185000000.0,6110000000000.0,0.6258435163231808,,3491288066,3491288066,,0.04,0.71,1.32,0.61,20.24, 
General Purpose Fiscal Assistance,Exclusion Of Interest On Public Purpose State And Local Bonds,1991,3840000000.0,6620000000.0,10460000000.0,6110000000000.0,0.6258435163231808,6135719073,10577724027,16713443101,8.24,0.17,2.14,82.46,2.94,-21.17,Exclusion Of Interest On Public Purpose State And Local Debt
"Education, Training, Employment, And Social Services",Exclusion Of Interest On Savings Bonds Redeemed To Finance Educational Expenses,1991,,5000000.0,5000000.0,6110000000000.0,0.6258435163231808,,7989218,7989218,,0.00,0.00,0.02,0.00,,Exclusion Of Interest On Savings Bonds Transferred To Educational Institutions
Commerce And Housing,Exclusion Of Interest On Small Issue Bonds,1991,1175000000.0,,1175000000.0,6110000000000.0,0.6258435163231808,1877466123,,1877466123,2.52,0.02,,0.71,0.33,-48.07,Exclusion Of Interest On Small Issue Industrial Development Bonds
Commerce And Housing,Exclusion Of Interest On State And Local Debt For Rental Housing,1991,1025000000.0,,1025000000.0,6110000000000.0,0.6258435163231808,1637789596,,1637789596,2.20,0.02,,0.62,0.29,-6.61, 
Natural Resources And Environment,Exclusion Of Interest On State And Local Idbs For Pollution Control And Sewage And Waste Disposal Facilities,1991,1360000000.0,,1360000000.0,6110000000000.0,0.6258435163231808,2173067172,,2173067172,2.92,0.02,,60.18,0.38,-7.83, 
"Education, Training, Employment, And Social Services",Exclusion Of Interest On Student Loan Bonds,1991,,290000000.0,290000000.0,6110000000000.0,0.6258435163231808,,463374618,463374618,,0.00,0.09,1.40,0.08,1.84,Exclusion Of Interest On State And Local Student Loan Bonds
Veterans Benefits And Services,Exclusion Of Interest On Veterans Housing Bonds,1991,,170000000.0,170000000.0,6110000000000.0,0.6258435163231808,,271633396,271633396,,0.00,0.06,8.72,0.05,-39.19,Exclusion Of Interest On State And Local Debt For Veterans Housing
Income Security,Exclusion Of Military Disability Pensions,1991,,110000000.0,110000000.0,6110000000000.0,0.6258435163231808,,175762786,175762786,,0.00,0.04,0.16,0.03,6.23, 
Income Security,Exclusion Of Other Employee Benefits: Premiums On Accident And Disability Insurance,1991,,125000000.0,125000000.0,6110000000000.0,0.6258435163231808,,199730439,199730439,,0.00,0.04,0.18,0.04,-3.42, 
Income Security,Exclusion Of Other Employee Benefits: Premiums On Group Term Life Insurance,1991,,2840000000.0,2840000000.0,6110000000000.0,0.6258435163231808,,4537875565,4537875565,,0.05,0.92,4.19,0.80,3.89, 
"Education, Training, Employment, And Social Services",Exclusion Of Parsonage Allowances,1991,,215000000.0,215000000.0,6110000000000.0,0.6258435163231808,,343536354,343536354,,0.00,0.07,1.04,0.06,6.48, 
Income Security,Exclusion Of Public Assistance Benefits,1991,,410000000.0,410000000.0,6110000000000.0,0.6258435163231808,,655115839,655115839,,0.01,0.13,0.60,0.12,5.59, 
Income Security,Exclusion Of Railroad Retirement System Benefits,1991,,300000000.0,300000000.0,6110000000000.0,0.6258435163231808,,479353053,479353053,,0.00,0.10,0.44,0.08,-5.01, 
"Education, Training, Employment, And Social Services",Exclusion Of Scholarship And Fellowship Income,1991,,685000000.0,685000000.0,6110000000000.0,0.6258435163231808,,1094522803,1094522803,,0.01,0.22,3.30,0.19,-0.52, 
Social Security,Exclusion Of Social Security Benefits: Social Security Benefits For Disabled Workers,1991,,1320000000.0,1320000000.0,6110000000000.0,0.6258435163231808,,2109153431,2109153431,,0.02,0.43,6.16,0.37,5.36,Exclusion Of Social Security Benefits: Disability Insurance Benefits
Social Security,Exclusion Of Social Security Benefits: Social Security Benefits For Retired Workers,1991,,16945000000.0,16945000000.0,6110000000000.0,0.6258435163231808,,27075458254,27075458254,,0.28,5.49,79.05,4.77,2.02,Exclusion Of Social Security Benefits: Oasi Benefits For Retired Workers
Social Security,"Exclusion Of Social Security Benefits: Social Security Benefits For Spouses, Dependents And Survivors",1991,,3170000000.0,3170000000.0,6110000000000.0,0.6258435163231808,,5065163922,5065163922,,0.05,1.03,14.79,0.89,2.22,Exclusion Of Social Security Benefits: Benefits For Dependents And Survivors
Income Security,Exclusion Of Special Benefits For Disabled Coal Miners,1991,,105000000.0,105000000.0,6110000000000.0,0.6258435163231808,,167773568,167773568,,0.00,0.03,0.15,0.03,-3.42, 
Health,Exclusion Of Untaxed Medicare Benefits,1991,,6735000000.0,6735000000.0,6110000000000.0,0.6258435163231808,,10761476031,10761476031,,0.11,2.18,13.72,1.89,9.04, 
Veterans Benefits And Services,Exclusion Of Veterans Death Benefits And Disability Compensation,1991,,1655000000.0,1655000000.0,6110000000000.0,0.6258435163231808,,2644431007,2644431007,,0.03,0.54,84.87,0.47,1.16,Exclusion Of Veterans Disability Compensation
Veterans Benefits And Services,Exclusion Of Veterans Pensions,1991,,80000000.0,80000000.0,6110000000000.0,0.6258435163231808,,127827481,127827481,,0.00,0.03,4.10,0.02,-3.42, 
Income Security,Exclusion Of Workers' Compensation Benefits,1991,,3230000000.0,3230000000.0,6110000000000.0,0.6258435163231808,,5161034533,5161034533,,0.05,1.05,4.76,0.91,14.05,Exclusion Of Workmen'S Compensation Benefits.........
Community And Regional Development,Exemption Of Certain Mutuals' And Cooperatives' Income,1991,85000000.0,,85000000.0,6110000000000.0,0.6258435163231808,135816698,,135816698,0.18,0.00,,10.43,0.02,-89.20, 
Commerce And Housing,Exemption Of Credit Union Income,1991,285000000.0,,285000000.0,6110000000000.0,0.6258435163231808,455385400,,455385400,0.61,0.00,,0.17,0.08,-35.99, 
Commerce And Housing,Exemption Of Ric Expenses From The 2% Floor Miscellaneous Itemized Deduction,1991,,420000000.0,420000000.0,6110000000000.0,0.6258435163231808,,671094274,671094274,,0.01,0.14,0.25,0.12,26.76, 
Agriculture,Expensing Of Certain Capital Outlays,1991,50000000.0,400000000.0,450000000.0,6110000000000.0,0.6258435163231808,79892175,639137403,719029579,0.11,0.01,0.13,67.67,0.13,-12.20, 
Agriculture,Expensing Of Certain Multiperiod Production Costs,1991,55000000.0,105000000.0,160000000.0,6110000000000.0,0.6258435163231808,87881393,167773568,255654961,0.12,0.00,0.03,24.06,0.05,-14.15, 
"Education, Training, Employment, And Social Services",Expensing Of Costs Of Removing Certain Architectural Barriers To The Handicapped,1991,15000000.0,5000000.0,20000000.0,6110000000000.0,0.6258435163231808,23967653,7989218,31956870,0.03,0.00,0.00,0.10,0.01,-3.42, 
Natural Resources And Environment,"Expensing Of Exploration And Development Costs, Nonfuel Minerals",1991,40000000.0,5000000.0,45000000.0,6110000000000.0,0.6258435163231808,63913740,7989218,71902958,0.09,0.00,0.00,1.99,0.01,8.65, 
Energy,Expensing Of Exploration And Development Costs: Oil And Gas,1991,-215000000.0,-100000000.0,-315000000.0,6110000000000.0,0.6258435163231808,-343536354,-159784351,-503320705,-0.46,-0.01,-0.03,-32.31,-0.09,-39.16, 
Energy,Expensing Of Exploration And Development Costs: Other Fuels,1991,30000000.0,5000000.0,35000000.0,6110000000000.0,0.6258435163231808,47935305,7989218,55924523,0.06,0.00,0.00,3.59,0.01,-24.89, 
Natural Resources And Environment,Expensing Of Multiperiod Timber Growing Costs,1991,225000000.0,175000000.0,400000000.0,6110000000000.0,0.6258435163231808,359514789,279622614,639137403,0.48,0.01,0.06,17.70,0.11,7.31, 
"General Science, Space, And Technology",Expensing Of Research And Experimentation Expenditures,1991,1770000000.0,30000000.0,1800000000.0,6110000000000.0,0.6258435163231808,2828183010,47935305,2876118316,3.80,0.03,0.01,56.96,0.51,-0.66,Expensing Of Research And Development Expenditures
Income Security,Income Of Trusts To Finance Supplementary Unemployment Benefits,1991,,30000000.0,30000000.0,6110000000000.0,0.6258435163231808,,47935305,47935305,,0.00,0.01,0.04,0.01,-3.42, 
International Affairs,Interest Allocation Rules Exception For Certain Financial Operations,1991,90000000.0,,90000000.0,6110000000000.0,0.6258435163231808,143805916,,143805916,0.19,0.00,,1.64,0.03,2.26, 
International Affairs,Inventory Property Sales Source Rules Exception,1991,2875000000.0,,2875000000.0,6110000000000.0,0.6258435163231808,4593800087,,4593800087,6.17,0.05,,52.37,0.81,-26.55, 
Natural Resources And Environment,Investment Credit And Seven-Year Amortization For Reforestation Expenditures,1991,10000000.0,15000000.0,25000000.0,6110000000000.0,0.6258435163231808,15978435,23967653,39946088,0.02,0.00,0.00,1.11,0.01,-88.50, 
